,correlation,variance_norm,combined_score
1h_Close,1.0,1.1216983574021222e-17,0.7
1h_Open,0.9799539377681338,1.1216983574021222e-17,0.6859677564376936
1h_High,0.9774665303438093,7.522194416439716e-18,0.6842265712406664
distance_to_resistance,0.9593456637765942,7.6090429710234e-14,0.6715419646436388
1h_ema_21,0.9245474466904567,9.424483828478814e-18,0.6471832126833197
1h_stoch_d,0.9146983991376726,4.734227419813173e-14,0.640288879396385
1h_stoch_k,0.9039078619320084,4.993932196912455e-14,0.6327355033524209
volume_weighted_price,0.8964524367458496,9.778818064967122e-18,0.6275167057220947
1h_bb_middle,0.8930677502694183,9.858402927747673e-18,0.6251474251885928
1h_sma_20,0.8930677502694183,9.858402927747673e-18,0.6251474251885928
1h_bb_lower,0.8862968670623464,2.870623344510233e-17,0.6204078069436425
1h_ema_50,0.8522719171448028,8.021863312960955e-18,0.5965903420013619
1h_bb_width,0.8181031267578334,7.902291061417155e-22,0.5726721887304833
1h_sma_50,0.806605478087352,8.637882216142921e-18,0.5646238346611463
1h_doji,0.7963113489228807,1.3260362184200119e-17,0.5574179442460164
sr_test_count,0.7554260795214869,9.432731728064928e-16,0.5287982556650411
range_efficiency,0.6820608542288041,4.555654450005758e-18,0.47744259796016286
price_vs_volatility,0.6352900877845132,3.970042205871042e-18,0.4447030614491592
1h_Low,0.6333149346554529,2.7313188611614808e-17,0.44332045425881694
accumulation_distribution,0.14125304865162827,1.0,0.3988771340561398
1h_bb_upper,0.5635843245367718,2.3258412617167213e-18,0.3945090271757402
fibonacci_confluence,0.49805482419191566,7.271029769879287e-18,0.34863837693434097
atr_normalized,0.48692575159971924,5.752706214446783e-19,0.34084802611980347
1h_atr_14,0.4824607887554683,1.652949095011567e-18,0.3377225521288278
1h_macd,0.47538925271442184,3.344088719936689e-19,0.33277247690009526
1h_30m_price_divergence,0.47127600677936143,8.391319073125918e-18,0.329893204745553
inside_bar_sequence,0.45404748668516604,3.592982751586738e-18,0.3178332406796162
1h_macd_signal,0.44984339205815504,2.7150023008008404e-19,0.3148903744407085
1h_trend_strength,0.41683753757859704,1.1758573763504475e-23,0.2917862763050179
swing_high_strength,0.381928960520329,5.080254562479305e-18,0.26735027236423026
stoch_cross_signal,0.3778554212413558,3.490560116030416e-18,0.26449879486894906
1h_bb_position,0.3582808097261457,7.187155224987366e-17,0.250796566808302
15m_rsi,0.34041445673051507,7.452235799613004e-13,0.2382901197115841
1h_price_z_score,0.31390195425556644,3.8563584919916184e-17,0.2197313679788965
1h_roc_10,0.3083470678395287,1.5031476926915736e-18,0.21584294748767008
rsi_divergence_mtf,0.25212015030650187,1.5419145844054476e-18,0.1764841052145513
1h_rsi,0.20764234936562004,4.467229254001693e-13,0.14534964455606803
1h_macd_histogram,0.18059726871081266,5.032691353086762e-20,0.12641808809756885
mtf_trend_alignment,0.15888440463036368,5.973716918085297e-18,0.11121908324125457
spread_vs_volatility,0.1517048358425427,4.433825487700178e-14,0.10619338508979319
price_volume_correlation,0.13316896466226893,3.1889943079301102e-18,0.09321827526358825
distance_to_support,0.11317714293162393,7.526484471722239e-14,0.07922400005215932
spread_sma_20,0.08418973193603611,5.776663592170084e-17,0.05893281235522529
15m_pin_bar,0.06522821163378191,4.510351208752869e-17,0.04565974814364735
high_low_correlation,0.06485274110144022,1.2982907072975482e-18,0.045396918771008155
volatility_regime,0.05606599800912028,3.3169241872267764e-16,0.03924619860638429
spread_expansion,0.044043149182551415,6.965207246819307e-18,0.03083020442778599
15m_atr_14,0.04246417113015331,5.4577052737095234e-18,0.029724919791107314
30m_atr_14,0.03797523950416601,2.9827434807951896e-18,0.026582667652916205
15m_micro_structure,0.029541735025869216,7.779010527099351e-17,0.020679214518108474
liquidity_indicator,0.01668603640227898,9.075454372590597e-18,0.011680225481595289
15m_candle_4_Close,0.01660112488404589,1.1115597733390603e-13,0.011620787418865469
15m_candle_4_High,0.016528602020976724,1.1072266565927109e-13,0.011570021414716922
15m_candle_4_Low,0.016527328595254034,1.1086363510667143e-13,0.011569130016711083
15m_candle_3_Low,0.016515209432434393,1.1090936247229906e-13,0.011560646602737347
15m_candle_3_Close,0.01647354691117418,1.1114955510379421e-13,0.01153148283785527
15m_candle_4_Open,0.01647354691117418,1.1114955510379421e-13,0.01153148283785527
15m_candle_1_High,0.016468757387900743,1.1056550844952599e-13,0.01152813017156369
15m_candle_2_Low,0.016436123609418825,1.1091211019533823e-13,0.01150528652662645
15m_candle_2_Close,0.016395370665675823,1.1115227693751993e-13,0.01147675946600642
15m_candle_3_Open,0.016395370665675823,1.1115227693751993e-13,0.01147675946600642
15m_candle_3_High,0.016375998440020485,1.1073019244565007e-13,0.011463198908047556
15m_candle_2_High,0.01633324334976081,1.1071624406820345e-13,0.011433270344865782
15m_candle_2_Open,0.016309335855674085,1.1116956631490427e-13,0.011416535099005209
15m_candle_1_Close,0.016292353817633557,1.110300142262691e-13,0.011404647672376797
15m_candle_1_Open,0.016266612007912573,1.1101642223857201e-13,0.011386628405572105
30m_candle_1_Extra_1,0.0162148120772902,1.1452198011527448e-15,0.011350368454103484
1h_Extra_1,0.016132628626369692,1.1529826484368413e-15,0.011292840038459128
15m_candle_1_Low,0.016124262663462514,1.107784463045022e-13,0.011286983864456993
15m_candle_1_Volume,0.014999313184063456,8.462369716205078e-10,0.010499519482715509
spread_normalized,0.014200306403394534,3.989687575142364e-12,0.009940214483573078
15m_sma_20,0.012996665913191126,1.1095986788738839e-13,0.009097666139267076
15m_candle_4_Extra_1,0.009641809308372329,1.1633777121659342e-15,0.006749266515860978
30m_candle_2_Volume,0.009431772521447869,3.351247911416378e-09,0.006602241770387881
30m_volume_ratio,0.008489845414546567,3.1892977035358745e-16,0.0059428917901826915
15m_candle_2_Volume,0.008206446826861941,8.410303957935629e-10,0.005744513031112477
volatility_expansion,0.007958993342246574,3.845522653332244e-16,0.005571295339572717
30m_candle_1_Volume,0.006208466320750403,3.3729265552814138e-09,0.004345927436403249
1h_volume_sma_20,0.005778567950726075,5.804816004817161e-10,0.004044997739652732
15m_candle_3_Volume,0.005539100310925002,8.47463990832275e-10,0.0038773704718866983
30m_candle_2_Extra_1,0.00536585506797256,1.1515691269341026e-15,0.0037560985475811374
1h_hammer,0.0051090870572474,3.0863069692812516e-19,0.00357636094007318
15m_candle_4_Volume,0.004658648502950635,8.502990965955524e-10,0.003261054207155173
15m_candle_3_Extra_1,0.00390853044352975,1.1482824553141242e-15,0.002735971310471169
15m_candle_2_Extra_1,0.0038111471835862508,1.1607251775504973e-15,0.0026678030285107236
